position,title,rating,price,type,address,operating_hours,phone,website,description,payments
11,Koyo,4.5,$20–30,Japanese restaurant,"2275 E 3300 S, Salt Lake City, UT 84109","{'thursday': '11:30\u202fAM–2\u202fPM, 5:30–10\u202fPM', 'friday': '11:30\u202fAM–2\u202fPM, 5:30–10\u202fPM', 'saturday': '5:30–10\u202fPM', 'sunday': '5–9\u202fPM', 'monday': 'Closed', 'tuesday': '11:30\u202fAM–2\u202fPM, 5:30–10\u202fPM', 'wednesday': '11:30\u202fAM–2\u202fPM, 5:30–10\u202fPM'}",(801) 466-7111,http://www.koyoslc.com/,"Serene eatery for sushi, sake & more. Long-running Japanese establishment serving sushi, hot entrees, wine & sake in a Zen-like space.",
12,The Dodo Restaurant,4.4,$20–30,Restaurant,"1355 E 2100 S, Salt Lake City, UT 84105","{'thursday': '11\u202fAM–10\u202fPM', 'friday': '11\u202fAM–10\u202fPM', 'saturday': '9\u202fAM–10\u202fPM', 'sunday': '9\u202fAM–9\u202fPM', 'monday': '11\u202fAM–10\u202fPM', 'tuesday': '11\u202fAM–10\u202fPM', 'wednesday': '11\u202fAM–10\u202fPM'}",(801) 486-2473,http://www.thedodorestaurant.com/,"Lively bistro with signature desserts. Upbeat bistro serving eclectic fare, brunch & popular desserts in a unique setting with park views.",
13,Burger King,3.5,$1–10,Fast food restaurant,"1430 E 3300 S, Salt Lake City, UT 84106","{'thursday': '6\u202fAM–12\u202fAM', 'friday': '6\u202fAM–2\u202fAM', 'saturday': '6\u202fAM–2\u202fAM', 'sunday': '7\u202fAM–12\u202fAM', 'monday': '6\u202fAM–12\u202fAM', 'tuesday': '6\u202fAM–12\u202fAM', 'wednesday': '6\u202fAM–12\u202fAM'}",(385) 715-5060,https://burgerking.com/store-locator/store/restaurant_6064,"Fast-food chain for grilled burgers. Well-known fast-food chain serving grilled burgers, fries & shakes.",
14,Eggs In the City,4.7,$10–20,American restaurant,"2795 S 2300 E, Millcreek, UT 84109","{'thursday': '8\u202fAM–1:50\u202fPM', 'friday': '8\u202fAM–1:50\u202fPM', 'saturday': '8\u202fAM–1:50\u202fPM', 'sunday': '8\u202fAM–1:50\u202fPM', 'monday': '8\u202fAM–1:50\u202fPM', 'tuesday': '8\u202fAM–1:50\u202fPM', 'wednesday': '8\u202fAM–1:50\u202fPM'}",(801) 581-0809,https://www.doordash.com/store/eggs-in-the-city-salt-lake-city-951473/?pickup=true&utm_campaign=gpa,Buzzy destination for breakfast & brunch. Buzzy eatery with a hip vibe serving up homey breakfast & brunch favorites in a former gas station.,
15,Taco Bell,3.4,$1–10,Fast food restaurant,"2212 S 1300 E, Salt Lake City, UT 84106","{'thursday': '7\u202fAM–4\u202fAM', 'friday': '7\u202fAM–4\u202fAM', 'saturday': '7\u202fAM–4\u202fAM', 'sunday': '7\u202fAM–3\u202fAM', 'monday': '7\u202fAM–3\u202fAM', 'tuesday': '7\u202fAM–3\u202fAM', 'wednesday': '7\u202fAM–3\u202fAM'}",(801) 467-9727,https://locations.tacobell.com/ut/salt-lake-city/2212-s-1300-e.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=033171&utm_content=website&y_source=1_NjE0NTExOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Mexican-inspired fast-food chain. Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.",
16,Pizza Hut,3.2,$10–20,Pizza delivery,"3304 S 2300 E, Salt Lake City, UT 84109","{'thursday': '10\u202fAM–11\u202fPM', 'friday': '10\u202fAM–12\u202fAM', 'saturday': '10\u202fAM–12\u202fAM', 'sunday': '10\u202fAM–11\u202fPM', 'monday': '10\u202fAM–11\u202fPM', 'tuesday': '10\u202fAM–11\u202fPM', 'wednesday': '10\u202fAM–11\u202fPM'}",(801) 485-5888,https://locations.pizzahut.com/ut/salt-lake-city/3304-s-2300-e?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=280709,"Casual pizza chain with wide selection. Popular delivery, carry-out & dine-in chain known for pizza, wings & pasta, plus sides & desserts.",
17,Table X,4.6,$100+,American restaurant,"1457 E 3350 S, Salt Lake City, UT 84106","{'thursday': '5–9\u202fPM', 'friday': '5–9\u202fPM', 'saturday': '5–9\u202fPM', 'sunday': 'Closed', 'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': '5–9\u202fPM'}",(385) 528-3712,http://www.tablexrestaurant.com/,"Rustic spot for New American fare. Creative, locally sourced New American fare, cocktails & wine served in a rustic converted factory.",
18,Per Noi Trattoria,4.4,$20–30,Italian restaurant,"3005 Highland Dr., Salt Lake City, UT 84106","{'thursday': '11\u202fAM–9\u202fPM', 'friday': '11\u202fAM–9\u202fPM', 'saturday': '11\u202fAM–9\u202fPM', 'sunday': 'Closed', 'monday': '11\u202fAM–9\u202fPM', 'tuesday': '11\u202fAM–9\u202fPM', 'wednesday': '11\u202fAM–9\u202fPM'}",(801) 486-3333,http://www.pernoitrattoria.com/,"Classic Italian meals in comfy surrounds. Traditional Italian cuisine served in a warm, relaxed restaurant with live piano music on weekends.",
19,Panda Express,3.9,$10–20,Chinese restaurant,"1126 E 2100 S Suite B, Salt Lake City, UT 84106","{'thursday': '9:30\u202fAM–11:30\u202fPM', 'friday': '9:30\u202fAM–12\u202fAM', 'saturday': '9:30\u202fAM–11:30\u202fPM', 'sunday': '10\u202fAM–11\u202fPM', 'monday': '9:30\u202fAM–11:30\u202fPM', 'tuesday': '9:30\u202fAM–11:30\u202fPM', 'wednesday': '9:30\u202fAM–11:30\u202fPM'}",(801) 467-7001,https://www.pandaexpress.com/locations/ut/salt-lake-city/522,"Simple Chinese fast-food chain. Fast-food chain for Chinese standards, including some health-conscious options.",
20,McDonald's,3.1,$1–10,Fast food restaurant,"2310 E 2100 S, Salt Lake City, UT 84109","{'thursday': '6\u202fAM–11\u202fPM', 'friday': '6\u202fAM–11\u202fPM', 'saturday': '6\u202fAM–11\u202fPM', 'sunday': '6\u202fAM–11\u202fPM', 'monday': '6\u202fAM–11\u202fPM', 'tuesday': '6\u202fAM–11\u202fPM', 'wednesday': '6\u202fAM–11\u202fPM'}",(801) 467-2311,https://www.mcdonalds.com/us/en-us/location/UT/SALT-LAKE-CITY/2310-E-2100-S/867.html?cid=RF:YXT:GMB::Clicks,"Iconic fast-food burger & fries chain. Classic, long-running fast-food chain known for its burgers & fries.",
